550,0,5.0
482,0,5.0
311,1,5.0
1256,1,3.0
986,1,5.0
1294,1,5.0
599,1,5.0
795,2,4.0
597,2,3.0
131,2,5.0
77,2,5.0
612,2,2.0
1271,3,4.0
514,3,5.0
139,3,5.0
170,3,4.0
679,4,5.0
1408,4,4.0
531,4,5.0
1405,4,5.0
489,5,4.0
435,5,5.0
225,5,5.0
1371,5,5.0
373,5,5.0
1131,5,5.0
741,5,4.0
75,5,4.0
282,5,5.0
1339,5,5.0
1158,6,5.0
1173,6,5.0
1088,6,5.0
820,6,5.0
831,6,4.0
35,6,4.0
156,6,5.0
176,6,5.0
1019,6,5.0
658,6,5.0
218,6,1.0
810,6,4.0
566,6,5.0
287,6,5.0
1267,6,4.0
983,6,3.0
822,6,5.0
628,6,5.0
919,6,5.0
242,6,5.0
1060,6,5.0
1085,6,4.0
1001,6,5.0
165,6,5.0
741,6,3.0
672,6,5.0
830,6,4.0
1303,6,3.0
1281,6,4.0
103,6,5.0
285,6,4.0
1043,6,5.0
1384,6,5.0
61,6,5.0
109,6,5.0
876,6,5.0
1007,6,5.0
1273,6,5.0
99,6,4.0
1068,6,1.0
472,6,5.0
82,6,5.0
1335,7,3.0
987,7,5.0
1217,7,4.0
328,7,2.0
1405,7,5.0
599,8,5.0
1072,9,4.0
622,9,5.0
240,9,5.0
703,9,5.0
369,9,5.0
368,9,5.0
963,9,5.0
615,9,5.0
164,10,5.0
789,10,5.0
1069,10,5.0
708,10,5.0
909,10,4.0
1360,10,5.0
246,10,5.0
162,11,5.0
1095,11,4.0
1348,11,4.0
517,11,5.0
1025,11,5.0
402,11,5.0
435,11,5.0
1020,11,4.0
1248,11,5.0
1018,11,5.0
396,11,4.0
242,11,5.0
1078,11,5.0
1217,11,5.0
939,12,4.0
1150,12,5.0
1334,12,5.0
926,12,5.0
230,12,4.0
1204,12,2.0
75,12,5.0
1279,12,5.0
1265,12,5.0
939,13,4.0
985,13,5.0
453,13,5.0
425,13,4.0
320,13,5.0
541,14,5.0
932,14,5.0
218,14,4.0
1294,14,5.0
1408,14,5.0
98,14,3.0
1273,14,5.0
641,14,5.0
225,15,5.0
620,15,5.0
1115,15,4.0
374,15,4.0
11,16,4.0
778,16,4.0
747,16,3.0
134,17,4.0
568,17,4.0
513,17,5.0
211,17,5.0
1062,18,4.0
593,18,4.0
1087,18,5.0
947,18,5.0
778,18,4.0
1115,18,4.0
87,18,5.0
582,19,5.0
575,19,5.0
503,19,5.0
235,19,5.0
811,19,5.0
816,19,5.0
741,19,4.0
776,19,4.0
384,19,5.0
753,19,4.0
1399,20,5.0
1112,20,5.0
845,20,4.0
878,20,4.0
575,20,4.0
84,20,5.0
741,20,4.0
1386,20,4.0
776,20,4.0
1115,20,5.0
753,20,4.0
1255,21,5.0
155,21,5.0
1271,21,4.0
218,21,4.0
368,21,5.0
30,21,5.0
1341,21,4.0
890,21,5.0
987,21,4.0
208,21,4.0
26,21,4.0
494,21,5.0
1319,21,4.0
955,21,5.0
896,21,5.0
1255,22,5.0
240,22,4.0
1347,22,5.0
789,22,5.0
105,22,5.0
811,22,5.0
1374,22,5.0
615,22,5.0
866,22,5.0
282,22,5.0
420,23,5.0
1131,23,5.0
1230,23,5.0
424,23,5.0
206,23,5.0
74,23,5.0
722,23,5.0
514,24,3.0
1411,24,4.0
1111,24,4.0
55,25,5.0
635,25,5.0
3,25,5.0
900,25,4.0
286,25,5.0
1410,25,5.0
429,25,4.0
68,25,4.0
140,25,5.0
284,25,5.0
122,25,5.0
1424,25,4.0
486,25,5.0
557,25,5.0
697,25,5.0
396,25,5.0
1219,25,5.0
345,25,4.0
52,25,5.0
565,25,5.0
1160,25,2.0
871,25,3.0
1204,25,5.0
1319,25,5.0
422,26,4.0
513,26,5.0
1333,26,5.0
1203,26,5.0
712,26,4.0
525,26,5.0
233,26,5.0
560,26,4.0
1078,26,4.0
500,26,4.0
71,26,5.0
927,26,5.0
1167,26,3.0
855,26,4.0
1011,26,5.0
1073,26,5.0
1241,26,5.0
87,26,5.0
859,26,5.0
29,27,4.0
1109,27,5.0
557,27,4.0
504,27,5.0
115,27,5.0
188,27,5.0
894,27,5.0
1207,27,5.0
988,28,4.0
775,28,5.0
1332,28,5.0
1303,28,5.0
188,28,5.0
843,28,3.0
1421,28,4.0
397,29,4.0
269,29,5.0
1313,29,4.0
1231,29,2.0
1074,29,3.0
370,29,5.0
496,29,5.0
669,29,4.0
1404,29,4.0
1224,29,5.0
294,29,4.0
303,29,5.0
1300,30,5.0
967,30,5.0
658,30,5.0
377,30,3.0
913,30,5.0
746,30,4.0
1222,30,4.0
1380,30,5.0
572,30,5.0
1297,30,5.0
1364,31,5.0
